manu|ginobili|0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|1234.1
pepe|ginobili|0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|1234.2
jose|ginobili|0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|1234.3
tim|ginobili|0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|1234.4
michael|ginobili|0.1|0.2|0.3|0.4|0.5|0.6|0.7|0.8|1234.5
kobe|bryant|0.6|0.6|0.6|0.6|0.6|0.6|0.6|0.6|1236.0
juancho|bryant|0.4|0.4|0.4|0.4|0.4|0.4|0.4|0.4|1234.0
miguel|bryant|0.3|0.3|0.3|0.3|0.3|0.3|0.3|0.3|1233.0
toby|bryant|0.2|0.2|0.2|0.2|0.2|0.2|0.2|0.2|1232.0
moby|bryant|0.35|0.35|0.35|0.35|0.35|0.35|0.35|0.35|1233.5
